"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年03月30日","6,407.0","5,869.0","6,639.5","5,848.0","-","9.18%"
"2020年03月29日","5,868.5","6,250.0","6,277.0","5,860.5","-","-6.13%"
"2020年03月28日","6,251.5","6,363.5","6,363.5","6,032.0","-","-1.77%"
"2020年03月27日","6,364.0","6,761.0","6,875.0","6,256.5","-","-5.86%"
"2020年03月26日","6,760.5","6,685.5","6,793.5","6,499.5","-","1.13%"
"2020年03月25日","6,685.0","6,764.5","6,980.5","6,457.5","-","-1.18%"
"2020年03月24日","6,765.0","6,486.0","6,865.0","6,401.0","-","4.21%"
"2020年03月23日","6,491.5","5,820.5","6,639.0","5,687.0","-","11.52%"
"2020年03月22日","5,821.0","6,192.0","6,422.5","5,745.5","-","-6.00%"
"2020年03月21日","6,192.5","6,204.0","6,445.0","5,861.0","-","-0.18%"
"2020年03月20日","6,203.5","6,185.5","6,940.0","5,655.0","-","0.30%"
"2020年03月19日","6,185.0","5,409.5","6,458.0","5,260.0","-","14.35%"
"2020年03月18日","5,409.0","5,327.0","5,455.0","5,004.5","-","1.55%"
"2020年03月17日","5,326.5","5,037.0","5,565.0","4,930.5","-","5.76%"
"2020年03月16日","5,036.5","5,338.5","5,347.5","4,397.0","-","-5.74%"
"2020年03月15日","5,343.0","5,160.5","5,966.0","5,088.0","-","3.55%"
"2020年03月14日","5,160.0","5,571.5","5,650.0","5,046.0","-","-7.44%"
"2020年03月13日","5,575.0","4,346.0","5,868.0","3,596.5","-","28.35%"
"2020年03月12日","4,343.5","7,938.5","7,967.0","4,330.0","-","-45.29%"
"2020年03月11日","7,939.0","7,889.5","7,985.0","7,593.0","-","0.63%"
"2020年03月10日","7,889.5","7,928.5","8,150.0","7,723.0","-","-0.49%"
"2020年03月09日","7,928.0","8,038.5","8,182.0","7,639.0","-","-1.37%"
"2020年03月08日","8,038.0","8,899.5","8,900.0","8,002.0","-","-9.69%"
"2020年03月07日","8,900.0","9,158.5","9,223.5","8,856.5","-","-2.83%"
"2020年03月06日","9,159.0","9,071.0","9,180.0","9,001.0","-","0.98%"
"2020年03月05日","9,070.5","8,756.0","9,171.0","8,756.0","-","3.59%"
"2020年03月04日","8,756.5","8,757.0","8,849.0","8,665.0","-","-0.01%"
"2020年03月03日","8,757.5","8,918.5","8,930.0","8,660.0","-","-1.81%"
"2020年03月02日","8,918.5","8,532.5","8,967.0","8,490.5","-","4.49%"
"2020年03月01日","8,535.5","8,531.5","8,768.0","8,400.0","-","0.04%"
"2020年02月29日","8,532.0","8,718.0","8,806.5","8,525.5","-","-2.13%"
"2020年02月28日","8,717.5","8,820.0","8,902.5","8,438.0","-","-1.13%"
