2018年12月13日,3257,3432,3439,3218,-,-5.09%
2018年12月14日,3193,3257.5,3300,3134.5,-,-1.96%
2018年12月15日,3183,3193.5,3226,3123,-,-0.31%
2018年12月16日,3189.5,3183.5,3257.5,3177,-,0.20%
2018年12月17日,3495.5,3189.5,3589.5,3178.5,-,9.59%
2018年12月18日,3665,3496,3689,3435,-,4.85%
2018年12月19日,3679.5,3665,3916,3641,-,0.40%
2018年12月20日,4070.5,3680,4172.5,3654.5,-,10.63%
2018年12月21日,3841.5,4069,4166.5,3771.5,-,-5.63%
2018年12月22日,3981,3841,4007,3785,-,3.63%
2018年12月23日,3944,3978,4052.5,3903.5,-,-0.93%
2018年12月24日,4033.5,3943.5,4241,3943.5,-,2.27%
2018年12月25日,3777.5,4034,4043,3671,-,-6.35%
2018年12月26日,3806.5,3777,3867,3686.5,-,0.77%
2018年12月27日,3588,3806,3842,3565,-,-5.74%
2018年12月28日,3889.5,3587.5,3956,3569,-,8.40%
2018年12月29日,3710.5,3890,3942,3675,-,-4.60%
2018年12月30日,3830.5,3711.5,3898,3674.5,-,3.23%
2018年12月31日,3693.5,3831,3838.5,3615,-,-3.58%
2019年01月01日,3824.5,3693,3864.5,3631,-,3.55%
2019年01月02日,3887.5,3824,3918,3762.5,-,1.65%
2019年01月03日,3783.5,3888,3891,3750,-,-2.68%
2019年01月04日,3816.5,3784,3850,3721.5,-,0.87%
2019年01月05日,3795,3817,3879,3767,-,-0.56%
2019年01月06日,4039,3794.5,4082,3750,-,6.43%
2019年01月07日,4005.5,4038.5,4074,3970,-,-0.83%
2019年01月08日,3995.5,4005,4129,3939,-,-0.25%
2019年01月09日,4001.5,3995,4044,3960,-,0.15%
2019年01月10日,3619,4001,4035,3537,-,-9.56%
2019年01月11日,3631.5,3622,3698,3564,-,0.35%
2019年01月12日,3613,3632,3652,3555,-,-0.51%
2019年01月13日,3513.5,3613.5,3638,3479,-,-2.75%
2019年01月14日,3663,3514,3717.5,3506.5,-,4.26%
